Circle Number: 146682
------------------------------------------------------------
Angular: 220.62047094106674, First Return Dist: 12464272, First Return Amp: 5000, x: -9460.865398680759, y: -8114.807600801711
Angular: 328.3558663725853, First Return Dist: 12464272, First Return Amp: 5000, x: 10611.122268929377, y: -6539.278299920799
Angular: 331.9470462203026, First Return Dist: 12464272, First Return Amp: 5000, x: 10999.886087099912, y: -5861.790047486333
Angular: 335.53822606801987, First Return Dist: 12464272, First Return Amp: 5000, x: 11345.450770254232, y: -5161.28116941149
Angular: 339.12940591573715, First Return Dist: 12464272, First Return Amp: 5000, x: 11646.459204756247, y: -4440.50272851312
Angular: 342.72058576345444, First Return Dist: 12464272, First Return Amp: 5000, x: 11901.729259818405, y: -3702.285390939826
Angular: 346.3117656111717, First Return Dist: 12464272, First Return Amp: 5000, x: 12110.258430006836, y: -2949.5283094814286
Angular: 349.902945458889, First Return Dist: 12464272, First Return Amp: 5000, x: 12271.227772315546, y: -2185.1877379153625
Angular: 353.4941253066063, First Return Dist: 12464272, First Return Amp: 5000, x: 12384.005122347848, y: -1412.265421104084
Angular: 357.0853051543236, First Return Dist: 12464272, First Return Amp: 5000, x: 12448.147576974363, y: -633.7968064382615

Circle Number: 146683
------------------------------------------------------------
Angular: 219.7384412586689, First Return Dist: 12465272, First Return Amp: 5000, x: -9585.430376921773, y: -7968.847502818041
Angular: 223.32962110638616, First Return Dist: 12465272, First Return Amp: 5000, x: -9067.464499677184, y: -8553.601205403373
Angular: 226.92080095410347, First Return Dist: 12465272, First Return Amp: 5000, x: -8513.888560648797, y: -9104.762907996977
Angular: 230.51198080182078, First Return Dist: 12465272, First Return Amp: 5000, x: -7926.876582507632, y: -9620.168069201085
Angular: 234.10316064953804, First Return Dist: 12465272, First Return Amp: 5000, x: -7308.733899099799, y: -10097.79257195024
Angular: 237.69434049725533, First Return Dist: 12465272, First Return Amp: 5000, x: -6661.888101859261, y: -10535.760672694212
Angular: 241.2855203449726, First Return Dist: 12465272, First Return Amp: 5000, x: -5988.87950608642, y: -10932.35236788323
Angular: 244.8767001926899, First Return Dist: 12465272, First Return Amp: 5000, x: -5292.351174533531, y: -11286.010148825737
Angular: 248.46788004040718, First Return Dist: 12465272, First Return Amp: 5000, x: -4575.0385374768, y: -11595.345118390662
Angular: 252.05905988812447, First Return Dist: 12465272, First Return Amp: 5000, x: -3839.758650039478, y: -11859.14244553252
Angular: 255.65023973584172, First Return Dist: 12465272, First Return Amp: 5000, x: -3089.399128955121, y: -12076.366136218103
Angular: 259.24141958355904, First Return Dist: 12465272, First Return Amp: 5000, x: -2326.906812218685, y: -12246.163102018294
Angular: 262.8325994312763, First Return Dist: 12465272, First Return Amp: 5000, x: -1555.2761861620456, y: -12367.866510386553
Angular: 266.4237792789936, First Return Dist: 12465272, First Return Amp: 5000, x: -777.5376254030265, y: -12440.998403466927
Angular: 270.0149591267109, First Return Dist: 12465272, First Return Amp: 5000, x: 3.254508147019845, y: -12465.271575146719
Angular: 273.6061389744282, First Return Dist: 12465272, First Return Amp: 5000, x: 784.033860479539, y: -12440.590698982327
Angular: 277.19731882214546, First Return Dist: 12465272, First Return Amp: 5000, x: 1561.7341277808184, y: -12367.052702568573
Angular: 280.78849866986275, First Return Dist: 12465272, First Return Amp: 5000, x: 2333.301098526903, y: -12244.94638688129
Angular: 284.37967851758003, First Return Dist: 12465272, First Return Amp: 5000, x: 3095.7046480893073, y: -12074.75129208806
Angular: 287.9708583652973, First Return Dist: 12465272, First Return Amp: 5000, x: 3845.9506387457204, y: -11857.135814281432
Angular: 291.5620382130146, First Return Dist: 12465272, First Return Amp: 5000, x: 4581.092678361797, y: -11592.954580530535
Angular: 295.1532180607319, First Return Dist: 12465272, First Return Amp: 5000, x: 5298.243691564756, y: -11283.245092559953
Angular: 298.7443979084492, First Return Dist: 12465272, First Return Amp: 5000, x: 5994.587257966133, y: -10929.22365223688
Angular: 302.33557775616646, First Return Dist: 12465272, First Return Amp: 5000, x: 6667.3886729058795, y: -10532.28058486814
Angular: 305.92675760388374, First Return Dist: 12465272, First Return Amp: 5000, x: 7314.0056872795, y: -10093.974779066328
Angular: 309.51793745160103, First Return Dist: 12465272, First Return Amp: 5000, x: 7931.898884270627, y: -9616.027564628255
Angular: 313.1091172993183, First Return Dist: 12465272, First Return Amp: 5000, x: 8518.641652236998, y: -9100.315952468733
Angular: 316.7002971470356, First Return Dist: 12465272, First Return Amp: 5000, x: 9071.929714584088, y: -8548.865263158044
Angular: 320.2914769947529, First Return Dist: 12465272, First Return Amp: 5000, x: 9589.590179200193, y: -7963.841173012632
Angular: 323.88265684247017, First Return Dist: 12465272, First Return Amp: 5000, x: 10069.590071913906, y: -7347.541208975756
Angular: 327.47383669018745, First Return Dist: 12465272, First Return Amp: 5000, x: 10510.04432046094, y: -6702.385725689828
Angular: 331.06501653790474, First Return Dist: 12465272, First Return Amp: 5000, x: 10909.223157605446, y: -6030.9084001955325
Angular: 334.656196385622, First Return Dist: 12465272, First Return Amp: 5000, x: 11265.558914342064, y: -5335.7462815872395
Angular: 338.2473762333393, First Return Dist: 12465272, First Return Amp: 5000, x: 11577.652176500085, y: -4619.629434702184
Angular: 341.8385560810566, First Return Dist: 12465272, First Return Amp: 5000, x: 11844.277280571469, y: -3885.370218514906
Angular: 345.4297359287739, First Return Dist: 12465272, First Return Amp: 5000, x: 12064.387127179152, y: -3135.8522413433298
Angular: 349.02091577649117, First Return Dist: 12465272, First Return Amp: 5000, x: 12237.117293282143, y: -2374.019036241946
Angular: 352.61209562420845, First Return Dist: 12465272, First Return Amp: 5000, x: 12361.789426967727, y: -1602.862501056441
Angular: 356.20327547192574, First Return Dist: 12465272, First Return Amp: 5000, x: 12437.913911498676, y: -825.4111485385312
Angular: 359.794455319643, First Return Dist: 12465272, First Return Amp: 5000, x: 12465.19178815312, y: -44.718212665370515

Circle Number: 146684
------------------------------------------------------------
Angular: 218.85641157627106, First Return Dist: 12466272, First Return Amp: 5000, x: -9707.743477259093, y: -7820.975268962147
Angular: 222.4475914239883, First Return Dist: 12466272, First Return Amp: 5000, x: -9198.79967952642, y: -8413.680647251156
Angular: 226.03877127170563, First Return Dist: 12466272, First Return Amp: 5000, x: -8653.730035926214, y: -8973.343526428293
Angular: 229.62995111942294, First Return Dist: 12466272, First Return Amp: 5000, x: -8074.675162910385, y: -9497.76597897959
Angular: 233.2211309671402, First Return Dist: 12466272, First Return Amp: 5000, x: -7463.909144905199, y: -9984.888474819563
Angular: 236.81231081485748, First Return Dist: 12466272, First Return Amp: 5000, x: -6823.830603447822, y: -10432.797969549345
Angular: 240.40349066257477, First Return Dist: 12466272, First Return Amp: 5000, x: -6156.9532772365055, y: -10839.735417431122
Angular: 243.99467051029205, First Return Dist: 12466272, First Return Amp: 5000, x: -5465.896150088555, y: -11204.102679573723
Angular: 247.58585035800934, First Return Dist: 12466272, First Return Amp: 5000, x: -4753.373165576024, y: -11524.468800199242
Angular: 251.17703020572662, First Return Dist: 12466272, First Return Amp: 5000, x: -4022.1825687322203, y: -11799.575626342274
Angular: 254.76821005344388, First Return Dist: 12466272, First Return Amp: 5000, x: -3275.195916686522, y: -12028.342748912004
Angular: 258.3593899011612, First Return Dist: 12466272, First Return Amp: 5000, x: -2515.3468013853635, y: -12209.871745712337
Angular: 261.9505697488785, First Return Dist: 12466272, First Return Amp: 5000, x: -1745.6193286880255, y: -12343.44970975678
Angular: 265.54174959659576, First Return Dist: 12466272, First Return Amp: 5000, x: -969.0363990823355, y: -12428.55204902154
Angular: 269.13292944431305, First Return Dist: 12466272, First Return Amp: 5000, x: -188.64783604479857, y: -12464.84454664155
Angular: 272.72410929203033, First Return Dist: 12466272, First Return Amp: 5000, x: 592.4815913321764, y: -12452.184673458569
Angular: 276.3152891397476, First Return Dist: 12466272, First Return Amp: 5000, x: 1371.2842044079823, y: -12390.622147766639
Angular: 279.9064689874649, First Return Dist: 12466272, First Return Amp: 5000, x: 2144.701462488052, y: -12280.398740056677
Angular: 283.4976488351822, First Return Dist: 12466272, First Return Amp: 5000, x: 2909.69597443113, y: -12121.947323526996
Angular: 287.0888286828995, First Return Dist: 12466272, First Return Amp: 5000, x: 3663.2634271973884, y: -11915.890174088634
Angular: 290.68000853061676, First Return Dist: 12466272, First Return Amp: 5000, x: 4402.444384491024, y: -11663.036526541768
Angular: 294.27118837833405, First Return Dist: 12466272, First Return Amp: 5000, x: 5124.335909161342, y: -11364.379396520675
Angular: 297.86236822605133, First Return Dist: 12466272, First Return Amp: 5000, x: 5826.102963718488, y: -11021.091680688201
Angular: 301.4535480737686, First Return Dist: 12466272, First Return Amp: 5000, x: 6504.989544191165, y: -10634.521550495238
Angular: 305.0447279214859, First Return Dist: 12466272, First Return Amp: 5000, x: 7158.329503601279, y: -10206.18715759492
Angular: 308.6359077692032, First Return Dist: 12466272, First Return Amp: 5000, x: 7783.557022549002, y: -9737.770671704697
Angular: 312.22708761692047, First Return Dist: 12466272, First Return Amp: 5000, x: 8378.21668578796, y: -9231.1116743309
Angular: 315.81826746463776, First Return Dist: 12466272, First Return Amp: 5000, x: 8939.973125217277, y: -8688.199934300363
Angular: 319.40944731235504, First Return Dist: 12466272, First Return Amp: 5000, x: 9466.62019142041, y: -8111.167593471079
Angular: 323.0006271600723, First Return Dist: 12466272, First Return Amp: 5000, x: 9956.089617731808, y: -7502.280793310588
Angular: 326.5918070077896, First Return Dist: 12466272, First Return Amp: 5000, x: 10406.459142805654, y: -6863.930775226439
Angular: 330.1829868555069, First Return Dist: 12466272, First Return Amp: 5000, x: 10815.960059787472, y: -6198.624489599783
Angular: 333.7741667032242, First Return Dist: 12466272, First Return Amp: 5000, x: 11182.984162441133, y: -5508.974750402728
Angular: 337.36534655094147, First Return Dist: 12466272, First Return Amp: 5000, x: 11506.090060952301, y: -4797.689974064461
Angular: 340.95652639865875, First Return Dist: 12466272, First Return Amp: 5000, x: 11784.008842604631, y: -4067.5635428840965
Angular: 344.54770624637604, First Return Dist: 12466272, First Return Amp: 5000, x: 12015.64905509788, y: -3321.462834762629
Angular: 348.1388860940933, First Return Dist: 12466272, First Return Amp: 5000, x: 12200.10099293734, y: -2562.3179623367137
Angular: 351.7300659418106, First Return Dist: 12466272, First Return Amp: 5000, x: 12336.640270060852, y: -1793.1102657385334
Angular: 355.3212457895279, First Return Dist: 12466272, First Return Amp: 5000, x: 12424.730664672961, y: -1016.8606041731493
Angular: 358.9124256372452, First Return Dist: 12466272, First Return Amp: 5000, x: 12464.026225113774, y: -236.61749229523437

Circle Number: 146685
------------------------------------------------------------
Angular: 217.97438189387321, First Return Dist: 12467272, First Return Amp: 5000, x: -9827.77534710388, y: -7671.225641893299
Angular: 221.56556174159047, First Return Dist: 12467272, First Return Amp: 5000, x: -9327.975702403839, y: -8271.743493203088
Angular: 225.15674158930779, First Return Dist: 12467272, First Return Amp: 5000, x: -8791.542907268846, y: -8839.776265926352
Angular: 228.7479214370251, First Return Dist: 12467272, First Return Amp: 5000, x: -8220.583659219283, y: -9373.093162012256
Angular: 232.33910128474236, First Return Dist: 12467272, First Return Amp: 5000, x: -7617.3402492616215, y: -9869.599720807471
Angular: 235.93028113245964, First Return Dist: 12467272, First Return Amp: 5000, x: -6984.181755885216, y: -10327.346044494883
Angular: 239.52146098017693, First Return Dist: 12467272, First Return Amp: 5000, x: -6323.594741134946, y: -10744.534455800049
Angular: 243.1126408278942, First Return Dist: 12467272, First Return Amp: 5000, x: -5638.173485298259, y: -11119.526557891919
Angular: 246.7038206756115, First Return Dist: 12467272, First Return Amp: 5000, x: -4930.609798557507, y: -11450.849668751778
Angular: 250.29500052332878, First Return Dist: 12467272, First Return Amp: 5000, x: -4203.682449619389, y: -11737.2026047413
Angular: 253.88618037104604, First Return Dist: 12467272, First Return Amp: 5000, x: -3460.2462528379087, y: -11977.46079065614
Angular: 257.47736021876335, First Return Dist: 12467272, First Return Amp: 5000, x: -2703.2208566881654, y: -12170.680676196795
Angular: 261.06854006648064, First Return Dist: 12467272, First Return Amp: 5000, x: -1935.5792776214332, y: -12316.103441512112
Angular: 264.6597199141979, First Return Dist: 12467272, First Return Amp: 5000, x: -1160.336224331563, y: -12413.157977262996
Angular: 268.2508997619152, First Return Dist: 12467272, First Return Amp: 5000, x: -380.5362582862168, y: -12461.463127502866
Angular: 271.8420796096325, First Return Dist: 12467272, First Return Amp: 5000, x: 400.7581629807546, y: -12460.82918656653
Angular: 275.4332594573498, First Return Dist: 12467272, First Return Amp: 5000, x: 1180.4787128590365, y: -12411.25864408887
Angular: 279.02443930506706, First Return Dist: 12467272, First Return Amp: 5000, x: 1955.563245700709, y: -12312.946175227458
Angular: 282.61561915278435, First Return Dist: 12467272, First Return Amp: 5000, x: 2722.9678225851258, y: -12166.277876127522
Angular: 286.20679900050163, First Return Dist: 12467272, First Return Amp: 5000, x: 3479.678665581645, y: -11971.829747631728
Angular: 289.7979788482189, First Return Dist: 12467272, First Return Amp: 5000, x: 4222.72399356307, y: -11730.365433189656
Angular: 293.3891586959362, First Return Dist: 12467272, First Return Amp: 5000, x: 4949.185693087841, y: -11442.833219850694
Angular: 296.9803385436535, First Return Dist: 12467272, First Return Amp: 5000, x: 5656.210778516515, y: -11110.362314118185
Angular: 300.5715183913708, First Return Dist: 12467272, First Return Amp: 5000, x: 6341.022596356191, y: -10734.258407290381
Angular: 304.16269823908806, First Return Dist: 12467272, First Return Amp: 5000, x: 7000.931729830602, y: -10315.998547704197
Angular: 307.75387808680534, First Return Dist: 12467272, First Return Amp: 5000, x: 7633.346560851212, y: -9857.225340019622
Angular: 311.34505793452263, First Return Dist: 12467272, First Return Amp: 5000, x: 8235.7834479098, y: -9359.740494325628
Angular: 314.9362377822399, First Return Dist: 12467272, First Return Amp: 5000, x: 8805.87647992177, y: -8825.49775040165
Angular: 318.5274176299572, First Return Dist: 12467272, First Return Amp: 5000, x: 9341.386767714384, y: -8256.595204922824
Angular: 322.1185974776745, First Return Dist: 12467272, First Return Amp: 5000, x: 9840.211236670168, y: -7655.267071741792
Angular: 325.70977732539177, First Return Dist: 12467272, First Return Amp: 5000, x: 10300.390885994651, y: -7023.874907606367
Angular: 329.30095717310905, First Return Dist: 12467272, First Return Amp: 5000, x: 10720.118482172362, y: -6364.898337771825
Angular: 332.89213702082634, First Return Dist: 12467272, First Return Amp: 5000, x: 11097.745656397141, y: -5680.925317930378
Angular: 336.4833168685436, First Return Dist: 12467272, First Return Amp: 5000, x: 11431.789378103405, y: -4974.6419707016275
Angular: 340.0744967162609, First Return Dist: 12467272, First Return Amp: 5000, x: 11720.937779175329, y: -4248.822036598442
Angular: 343.6656765639782, First Return Dist: 12467272, First Return Amp: 5000, x: 11964.055305960936, y: -3506.315980896759
Angular: 347.2568564116955, First Return Dist: 12467272, First Return Amp: 5000, x: 12160.187178857845, y: -2750.039799189329
Angular: 350.84803625941277, First Return Dist: 12467272, First Return Amp: 5000, x: 12308.563141956936, y: -1982.9635655864122
Angular: 354.43921610713005, First Return Dist: 12467272, First Return Amp: 5000, x: 12408.600488018124, y: -1208.0997685375023
Angular: 358.03039595484734, First Return Dist: 12467272, First Return Amp: 5000, x: 12459.906346898486, y: -428.4914800819787

Circle Number: 146686
------------------------------------------------------------
Angular: 217.09235221147537, First Return Dist: 12468272, First Return Amp: 5000, x: -9945.497169897046, y: -7519.633814857867
Angular: 220.68353205919263, First Return Dist: 12468272, First Return Amp: 5000, x: -9454.961603939846, y: -8127.823062420049
Angular: 224.27471190690994, First Return Dist: 12468272, First Return Amp: 5000, x: -8927.29418410093, y: -8704.09244071441
Angular: 227.86589175462726, First Return Dist: 12468272, First Return Amp: 5000, x: -8364.56718421412, y: -9246.17880460638
Angular: 231.4570716023445, First Return Dist: 12468272, First Return Amp: 5000, x: -7768.990565314741, y: -9751.953253683827
Angular: 235.0482514500618, First Return Dist: 12468272, First Return Amp: 5000, x: -7142.903296603798, y: -10219.429492948744
Angular: 238.63943129777908, First Return Dist: 12468272, First Return Amp: 5000, x: -6488.764169766826, y: -10646.771633464026
Angular: 242.23061114549637, First Return Dist: 12468272, First Return Amp: 5000, x: -5809.142142721749, y: -11032.301402320287
Angular: 245.82179099321365, First Return Dist: 12468272, First Return Amp: 5000, x: -5106.706250718012, y: -11374.504733607597
Angular: 249.41297084093094, First Return Dist: 12468272, First Return Amp: 5000, x: -4384.215124408577, y: -11672.03771450774
Angular: 253.0041506886482, First Return Dist: 12468272, First Return Amp: 5000, x: -3644.5061560597014, y: -11923.731863155384
Angular: 256.5953305363655, First Return Dist: 12468272, First Return Amp: 5000, x: -2890.4843564454504, y: -12128.598717540626
Angular: 260.1865103840828, First Return Dist: 12468272, First Return Amp: 5000, x: -2125.1109461883616, y: -12285.833717431406
Angular: 263.7776902318001, First Return Dist: 12468272, First Return Amp: 5000, x: -1351.3917263508931, y: -12394.819364070392
Angular: 267.36887007951736, First Return Dist: 12468272, First Return Amp: 5000, x: -572.365273949011, y: -12455.127645237575
Angular: 270.96004992723465, First Return Dist: 12468272, First Return Amp: 5000, x: 208.9089912531353, y: -12466.521716154735
Angular: 274.55122977495193, First Return Dist: 12468272, First Return Amp: 5000, x: 989.3628218027967, y: -12428.956829630491
Angular: 278.1424096226692, First Return Dist: 12468272, First Return Amp: 5000, x: 1765.9311922867216, y: -12342.580511793018
Angular: 281.7335894703865, First Return Dist: 12468272, First Return Amp: 5000, x: 2535.5643364054954, y: -12207.73198272032
Angular: 285.3247693181038, First Return Dist: 12468272, First Return Amp: 5000, x: 3295.2397241217514, y: -12024.940824243336
Angular: 288.9159491658211, First Return Dist: 12468272, First Return Amp: 5000, x: 4041.973931845251, y: -11794.924900153772
Angular: 292.50712901353836, First Return Dist: 12468272, First Return Amp: 5000, x: 4772.834359037646, y: -11518.587536984458
Angular: 296.09830886125565, First Return Dist: 12468272, First Return Amp: 5000, x: 5484.950745223304, y: -11197.013976434
Angular: 299.68948870897293, First Return Dist: 12468272, First Return Amp: 5000, x: 6175.526442176002, y: -10831.467113367837
Angular: 303.2806685566902, First Return Dist: 12468272, First Return Amp: 5000, x: 6841.849397013066, y: -10423.38253613365
Angular: 306.8718484044075, First Return Dist: 12468272, First Return Amp: 5000, x: 7481.302803063744, y: -9974.362888668858
Angular: 310.4630282521248, First Return Dist: 12468272, First Return Amp: 5000, x: 8091.375376683286, y: -9486.171576541688
Angular: 314.05420809984207, First Return Dist: 12468272, First Return Amp: 5000, x: 8669.6712196534, y: -8960.725841643494
Angular: 317.64538794755936, First Return Dist: 12468272, First Return Amp: 5000, x: 9213.919228437013, y: -8400.089232729773
Angular: 321.23656779527664, First Return Dist: 12468272, First Return Amp: 5000, x: 9721.982013335044, y: -7806.463501379731
Angular: 324.8277476429939, First Return Dist: 12468272, First Return Amp: 5000, x: 10191.864292517503, y: -7182.179955200979
Angular: 328.4189274907112, First Return Dist: 12468272, First Return Amp: 5000, x: 10621.720727963664, y: -6529.69030223724
Angular: 332.0101073384285, First Return Dist: 12468272, First Return Amp: 5000, x: 11009.863172537698, y: -5851.557022535298
Angular: 335.6012871861458, First Return Dist: 12468272, First Return Amp: 5000, x: 11354.767299738769, y: -5150.443304684285
Angular: 339.19246703386307, First Return Dist: 12468272, First Return Amp: 5000, x: 11655.07859008908, y: -4429.102586848845
Angular: 342.78364688158035, First Return Dist: 12468272, First Return Amp: 5000, x: 11909.617650649832, y: -3690.367743371112
Angular: 346.37482672929764, First Return Dist: 12468272, First Return Amp: 5000, x: 12117.38484677417, y: -2937.1399594080867
Angular: 349.9660065770149, First Return Dist: 12468272, First Return Amp: 5000, x: 12277.564227907133, y: -2172.377337296441
Angular: 353.5571864247322, First Return Dist: 12468272, First Return Amp: 5000, x: 12389.52673201502, y: -1399.083279390205
Angular: 357.1483662724495, First Return Dist: 12468272, First Return Amp: 5000, x: 12452.832656059694, y: -620.2946929945974

Circle Number: 146687
------------------------------------------------------------
Angular: 216.21032252907753, First Return Dist: 12469272, First Return Amp: 5000, x: -10060.880672026258, y: -7366.23542341897
Angular: 219.8015023767948, First Return Dist: 12469272, First Return Amp: 5000, x: -9579.726933940097, y: -7981.953149519652
Angular: 223.3926822245121, First Return Dist: 12469272, First Return Amp: 5000, x: -9060.951359231185, y: -8566.323871745133
Angular: 226.9838620722294, First Return Dist: 12469272, First Return Amp: 5000, x: -8506.59130137006, y: -9117.052629081356
Angular: 230.57504191994667, First Return Dist: 12469272, First Return Amp: 5000, x: -7918.823862446467, y: -9631.976580408222
Angular: 234.16622176766396, First Return Dist: 12469272, First Return Amp: 5000, x: -7299.957343178337, y: -10109.073498484451
Angular: 237.75740161538124, First Return Dist: 12469272, First Return Amp: 5000, x: -6652.422177673015, y: -10546.469711708663
Angular: 241.34858146309853, First Return Dist: 12469272, First Return Amp: 5000, x: -5978.761388541904, y: -10942.44746246764
Angular: 244.9397613108158, First Return Dist: 12469272, First Return Amp: 5000, x: -5281.62059985369, y: -11295.45165317373
Angular: 248.5309411585331, First Return Dist: 12469272, First Return Amp: 5000, x: -4563.73764714753, y: -11604.095953498158
Angular: 252.12212100625035, First Return Dist: 12469272, First Return Amp: 5000, x: -3827.931825310117, y: -11867.168244815692
Angular: 255.71330085396767, First Return Dist: 12469272, First Return Amp: 5000, x: -3077.0928165428563, y: -12083.635380479021
Angular: 259.30448070168495, First Return Dist: 12469272, First Return Amp: 5000, x: -2314.1693419014337, y: -12252.647243228195
Angular: 262.89566054940224, First Return Dist: 12469272, First Return Amp: 5000, x: -1542.1575809760027, y: -12373.540083800683
Angular: 266.4868403971195, First Return Dist: 12469272, First Return Amp: 5000, x: -764.0894051905035, y: -12445.839127630552
Angular: 270.0780202448368, First Return Dist: 12469272, First Return Amp: 5000, x: 16.97952906812104, y: -12469.260439399628
Angular: 273.6692000925541, First Return Dist: 12469272, First Return Amp: 5000, x: 797.9817807299515, y: -12443.71203811817
Angular: 277.2603799402714, First Return Dist: 12469272, First Return Amp: 5000, x: 1575.850170603281, y: -12369.294258355794
Angular: 280.85155978798866, First Return Dist: 12469272, First Return Amp: 5000, x: 2347.529826907346, y: -12246.299356204076
Angular: 284.44273963570595, First Return Dist: 12469272, First Return Amp: 5000, x: 3109.9901824710196, y: -12075.210361518257
Angular: 288.03391948342323, First Return Dist: 12469272, First Return Amp: 5000, x: 3860.2368764814883, y: -11856.699180945616
Angular: 291.6250993311405, First Return Dist: 12469272, First Return Amp: 5000, x: 4595.323514042171, y: -11591.623959190323
Angular: 295.2162791788578, First Return Dist: 12469272, First Return Amp: 5000, x: 5312.363237357162, y: -11281.025708877723
Angular: 298.8074590265751, First Return Dist: 12469272, First Return Amp: 5000, x: 6008.540063099517, y: -10926.12422225338
Angular: 302.3986388742924, First Return Dist: 12469272, First Return Amp: 5000, x: 6681.1199414388975, y: -10528.313280772543
Angular: 305.98981872200966, First Return Dist: 12469272, First Return Amp: 5000, x: 7327.461493297048, y: -10089.155181393187
Angular: 309.58099856972694, First Return Dist: 12469272, First Return Amp: 5000, x: 7945.026383663565, y: -9610.374601069088
Angular: 313.17217841744423, First Return Dist: 12469272, First Return Amp: 5000, x: 8531.389290233376, y: -9093.851823538542
Angular: 316.7633582651615, First Return Dist: 12469272, First Return Amp: 5000, x: 9084.247428216835, y: -8541.615355008664
Angular: 320.3545381128788, First Return Dist: 12469272, First Return Amp: 5000, x: 9601.429593916147, y: -7955.833957735367
Angular: 323.9457179605961, First Return Dist: 12469272, First Return Amp: 5000, x: 10080.904691552036, y: -7338.808132784788
Angular: 327.53689780831337, First Return Dist: 12469272, First Return Amp: 5000, x: 10520.789709853687, y: -6692.961085425551
Angular: 331.12807765603065, First Return Dist: 12469272, First Return Amp: 5000, x: 10919.357117086061, y: -6020.829208632809
Angular: 334.71925750374794, First Return Dist: 12469272, First Return Amp: 5000, x: 11275.0416454726, y: -5325.052122077544
Angular: 338.3104373514652, First Return Dist: 12469272, First Return Amp: 5000, x: 11586.446438369208, y: -4608.36230572049
Angular: 341.9016171991825, First Return Dist: 12469272, First Return Amp: 5000, x: 11852.348536048263, y: -3873.574368721817
Angular: 345.4927970468998, First Return Dist: 12469272, First Return Amp: 5000, x: 12071.70367854854, y: -3123.5739958101954
Angular: 349.0839768946171, First Return Dist: 12469272, First Return Amp: 5000, x: 12243.65040672925, y: -2361.3066145214384
